"ScatID","sample","scat.number","CollectionType","scatseason","CollectionDate","Easting","Northing","e","e.m","YEAR","YrsSinceDi","TREATMENT_","class","hja","logged","Amphibia","Aves","Mammalia","Reptilia","Gastropoda","Arachnida","myriapoda","Insecta","Streptophyta"
"F37-6","F37",6,"F","wet",2018-10-27 15:00:00,562359,4895135,2833.538883,863.8838056,1973,45,"Clearcut",2,0,1,0,1,0,0,1,0,0,1,1
"F38-46","F38",46,"F","wet",2018-11-01 14:30:00,563305,4896533,2980.408228,908.6610452,NA,200,NA,3,1,0,0,0,1,0,0,0,0,1,0
"F38-47","F38",47,"F","wet",2018-11-01 14:32:00,563305,4896533,2980.408228,908.6610452,NA,200,NA,3,1,0,0,0,1,0,0,0,0,1,0
"MT284","MT",284,"MT","wet",2018-05-18 00:00:00,560549,4896900,1558.54883,475.1673261,NA,200,NA,3,1,0,0,0,1,0,0,0,1,1,7
"MT285","MT",285,"MT","dry",2018-06-11 00:00:00,562849,4897338,2122.420962,647.0795615,NA,200,NA,3,1,0,0,1,0,0,0,0,1,2,0
"MT287","MT",287,"MT","wet",2018-04-20 00:00:00,562076,4895867,2928.812399,892.9306095,NA,200,NA,3,1,0,0,1,1,0,0,0,0,0,5
"MT288","MT",288,"MT","wet",2018-04-21 00:00:00,561668,4895921,2776.898236,846.615316,1963,55,"Clearcut",2,1,1,0,0,1,0,0,0,1,0,4
"MT289","MT",289,"MT","wet",2018-04-20 00:00:00,562076,4895867,2928.812399,892.9306095,NA,200,NA,3,1,0,0,0,1,0,0,0,1,0,7
"MT296","MT",296,"MT","dry",2018-06-02 00:00:00,564333,4902442,2022.749595,616.6919496,NA,200,NA,3,0,0,1,0,1,0,0,0,0,0,0
"MT315","MT",315,"MT","wet",2018-04-18 00:00:00,559525,4895747,1438.035245,438.4253797,NA,200,NA,3,1,0,0,0,1,0,0,0,0,1,0
"MT37","MT",37,"MT","dry",2017-08-03 00:00:00,560520,4896951,1582.505363,482.4711473,1952,66,"Clearcut",2,1,1,0,0,0,0,0,0,0,1,0
"MT383","MT",383,"MT","dry",2018-08-19 00:00:00,559485,4895412,1495.638629,455.9873868,NA,200,NA,3,1,0,0,0,0,0,0,0,1,1,0
"MT408","MT",408,"MT","dry",2018-07-20 00:00:00,560429,4896823,1544.853934,470.992053,NA,200,NA,3,1,0,0,0,2,0,0,0,1,1,4
"MT431","MT",431,"MT","dry",2018-07-31 00:00:00,564140,4901846,2419.885201,737.7698783,1980,38,"Commercial Thinning",1,0,1,0,0,4,0,0,0,1,1,0
"MT432","MT",432,"MT","dry",2018-07-31 00:00:00,564140,4901846,2419.885201,737.7698783,1980,38,"Commercial Thinning",1,0,1,1,0,0,0,0,0,1,1,0
"MT433","MT",433,"MT","dry",2018-07-31 00:00:00,564140,4901846,2419.885201,737.7698783,1980,38,"Commercial Thinning",1,0,1,1,0,0,0,0,0,1,1,0
"MT904","MT",904,"MT","wet",2018-10-20 00:00:00,564420,4901755,2656.722961,809.9765126,1980,38,"Commercial Thinning",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT906","MT",906,"MT","wet",2018-10-31 00:00:00,564329,4903177,2326.686736,709.3557121,1982,36,"Clearcut",1,0,1,0,0,0,0,0,0,0,0,1
